english spanish
bull toro
bull toro
cow vaca
cowa va212ca
cowb vac,.a
cowc 56,.
cowd  
   
chicken pollo asd
chick pollito
donkey burro
goat cabra
horse caballo
pig cerdo
rabbit conejo
sheep oveja
turkey pavo
beaver castor
bird pájaro
boar jabalí
chameleon camaleón
deer ciervo
dove paloma
eagle águila
falcon halcón
snake serpiente
hawk halcón
hummingbird colibrí
koala koala
mouse ratón
owl búho
racoon mapache
skunk mofeta
squirrel ardilla
bat murciélago
bear oso
weasel comadreja
black negro
blue azul
brown marrón
gold dorado
grey gris
green verde
orange anaranjado
pink rosado
purple morado
red rojo
silver plateado
turquoise turquesa
violet violeta
yellow amarillo
white blanco
